Serial No. of Polling Station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHA,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
134,252,365,5,0,9,0,0,0,0,0,0,1,1,1,0,6,1,2,1,1,0,0,0,0,0,645,0,6,651,
135,233,391,3,0,6,1,1,1,0,0,1,0,0,0,0,0,3,4,1,0,1,0,1,0,1,648,0,5,653,
136,68,414,1,0,14,1,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,504,0,4,508,
137,275,241,0,1,2,0,2,1,0,0,0,1,0,0,0,2,2,2,0,1,0,0,0,0,0,530,0,2,532,
138,309,430,5,1,0,0,2,0,0,1,0,1,3,2,2,6,5,2,0,0,0,0,1,1,0,771,0,1,772,
139,190,410,11,0,1,1,0,1,0,0,0,3,2,2,2,2,3,2,0,1,0,3,2,2,0,638,0,6,644,
140,90,907,10,0,0,0,0,0,0,0,2,1,1,1,5,7,3,8,1,2,1,1,1,0,2,1043,0,6,1049,
141,44,474,2,0,2,1,0,0,1,1,2,0,0,1,5,0,1,3,0,0,0,0,0,0,0,537,0,10,547,
142,36,503,5,1,0,0,0,0,0,0,1,1,0,1,1,0,2,7,0,0,0,0,1,0,0,559,0,1,560,
143,81,494,3,0,0,1,0,0,0,0,1,0,2,0,2,5,0,6,0,0,0,0,0,0,0,595,0,1,596,
144,58,347,1,1,1,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,415,0,2,417,
145,247,243,7,0,4,1,1,0,0,0,0,0,0,0,0,2,6,3,0,0,1,0,1,2,1,519,0,2,521,
146,222,384,23,0,3,2,0,0,1,0,1,0,1,0,2,10,5,3,2,1,1,0,1,0,0,662,0,9,671,
147,441,137,3,4,7,3,2,0,0,0,0,1,1,2,3,8,13,3,2,1,1,0,0,9,0,641,0,8,649,
148,101,581,4,0,4,1,0,0,0,0,1,0,0,0,1,2,2,2,0,2,0,0,0,0,1,702,0,5,707,
149,67,105,0,0,3,0,0,0,0,0,0,0,0,1,1,4,1,1,1,0,0,0,0,0,0,184,0,1,185,
150,374,178,1,2,0,2,0,0,0,1,0,1,0,1,1,5,7,1,0,0,2,0,0,0,0,576,0,6,582,
151,74,452,5,1,8,0,1,1,2,0,0,1,1,1,3,9,2,5,3,1,0,0,1,0,2,573,0,8,581,
152,120,533,4,0,3,1,0,2,0,0,0,1,0,1,2,2,0,3,0,0,1,0,1,0,1,675,0,12,687,
153,92,193,1,0,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,297,0,2,299,
154,99,525,5,0,32,2,1,0,0,0,0,2,0,0,3,3,2,1,0,0,0,0,0,0,1,676,0,6,682,
155,193,487,6,0,5,1,0,0,0,0,0,2,2,0,3,8,2,2,1,1,0,1,0,1,0,715,0,8,723,
156,271,140,9,1,5,1,2,0,0,1,0,0,0,0,1,2,5,2,0,0,0,1,0,2,1,444,0,6,450,
157,367,305,68,4,10,0,2,3,0,3,0,0,0,3,3,13,5,8,1,1,1,1,1,1,1,801,0,5,806,
158,128,465,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,599,0,5,604,
159,222,363,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,593,0,7,600,
160,241,423,5,1,11,0,0,0,0,0,0,1,1,1,1,4,4,3,2,0,0,0,2,2,0,702,0,7,709,
161,231,291,6,0,7,2,0,0,1,0,1,1,0,0,2,5,4,2,2,0,0,0,0,0,0,555,0,6,561,
