Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makwana Ukabhai Amrabhai,Makwana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,Total of Valid votes,No. of rejected Votes,Nota,Total,No. of tender ed votes
230,181,4,213,1,1,1,1,0,2,0,0,1,1,4,3,12,5,430,0,3,433,
231,216,15,165,4,3,0,3,5,3,2,0,4,2,2,5,14,14,457,0,5,462,
232,288,7,204,5,1,3,1,1,3,1,2,3,0,1,5,9,7,541,0,4,545,
233,117,4,104,5,0,2,1,1,1,1,1,1,3,3,6,17,2,269,0,8,277,
234,117,5,97,7,0,1,0,0,0,1,0,0,0,0,1,3,5,237,0,0,237,
235,174,5,131,3,2,0,2,0,0,0,0,1,0,4,3,12,3,340,0,2,342,
236,203,5,120,5,2,0,0,1,1,1,1,1,1,0,1,7,7,356,0,2,358,
237,175,4,240,5,0,1,0,0,1,0,2,0,1,2,1,3,9,444,0,6,450,
238,349,3,132,4,0,0,1,1,0,0,0,3,0,1,2,9,5,510,0,2,512,
239,188,1,197,4,1,3,0,1,1,0,2,2,4,4,9,17,12,446,0,9,455,
240,32,0,444,10,0,0,2,1,1,0,1,0,2,3,1,2,0,499,0,1,500,
241,211,5,241,5,1,4,2,3,2,1,1,2,1,1,4,16,2,502,0,2,504,
242,292,10,287,7,1,0,0,0,1,1,0,1,1,5,1,12,2,621,0,2,623,
243,56,2,667,4,1,0,1,0,0,1,0,1,1,2,0,12,2,750,0,1,751,
244,256,2,53,0,0,0,0,0,2,0,0,0,1,2,1,3,8,328,0,1,329,
245,222,3,261,5,0,0,0,1,3,0,2,0,1,8,4,5,7,522,0,7,529,
246,182,4,153,11,1,0,0,1,0,0,0,1,1,12,8,9,4,387,0,1,388,
247,86,1,135,2,1,0,0,0,1,0,0,0,0,3,1,2,3,235,0,4,239,
248,263,7,213,3,0,0,0,1,1,0,0,0,2,4,6,10,10,520,0,10,530,
249,232,6,88,4,2,1,0,1,2,0,0,1,1,1,2,4,9,354,0,3,357,
250,158,6,109,0,1,0,1,1,4,0,1,1,2,3,0,12,3,302,0,4,306,
251,20,1,107,1,0,0,0,0,0,0,0,0,1,1,2,0,2,135,0,0,135,
