Serial No of polling station,,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanajibhai,Parmar Prabhubhai Gokalbha,Parmar Vasharambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devajibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,valid,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
173,161,3,114,1,2,1,0,0,0,0,1,1,4,2,0,10,6,306,0,4,310,0
174,244,3,163,8,0,3,0,0,2,0,3,1,0,12,3,10,3,455,0,6,461,0
175,148,9,504,10,1,1,1,2,2,1,0,1,5,12,7,9,2,715,0,6,721,0
176,124,5,394,10,0,1,0,0,0,0,0,0,1,0,3,4,3,545,0,3,548,0
177,173,10,336,11,2,1,3,0,1,2,0,2,0,8,5,8,5,567,0,3,570,0
178,91,4,585,18,0,1,0,0,0,1,0,1,0,3,3,4,3,714,0,3,717,0
179,94,4,623,15,2,1,0,0,0,0,1,1,0,1,1,2,1,746,0,10,756,0
180,145,7,263,7,0,0,1,4,1,0,0,1,2,5,1,4,0,441,0,3,444,0
181,217,3,277,7,1,0,0,19,1,2,0,3,2,2,1,8,2,545,0,4,549,0
182,76,5,394,5,2,1,0,4,1,1,0,1,1,6,1,6,5,509,0,0,509,0
183,63,1,185,6,1,0,0,0,0,0,0,0,1,1,1,5,2,266,0,1,267,0
184,64,2,188,4,1,0,0,0,1,0,0,0,0,1,1,4,1,267,0,2,269,0
185,44,4,360,16,0,0,3,0,1,0,0,1,1,3,1,3,4,441,0,3,444,0
186,111,5,186,7,0,16,0,5,2,1,1,0,1,1,2,0,3,341,0,2,343,0
187,283,9,224,5,0,1,1,13,1,0,0,2,2,2,2,5,8,558,0,3,561,0
188,35,1,170,5,1,2,0,1,0,1,1,1,1,1,0,3,2,225,0,8,233,0
189,122,4,307,13,0,1,0,1,1,0,2,0,4,4,2,2,5,468,0,4,472,0
190,61,4,243,5,1,0,0,0,1,0,0,1,0,2,1,4,5,328,0,3,331,0
191,214,9,345,9,0,0,1,2,1,1,1,1,1,5,4,14,1,609,0,4,613,0
192,203,6,359,4,3,1,0,1,2,0,2,1,1,5,1,5,9,603,0,8,611,0
193,57,1,109,1,1,0,1,0,0,0,1,1,3,0,1,1,1,178,0,1,179,0
194,136,6,354,17,1,3,0,1,3,0,0,0,2,8,1,8,5,545,0,6,551,0
195,59,4,630,4,0,1,1,1,0,1,0,1,2,9,4,5,4,726,0,1,727,0
196,105,6,465,6,1,0,0,1,0,1,1,0,1,10,2,4,4,607,0,4,611,0
