Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",,,,,
206,204,142,13,0,0,0,0,5,1,0,0,0,0,1,3,8,1,1,6,386,0,386,0,0
207,166,146,5,0,0,1,1,0,0,0,0,1,1,2,4,4,4,4,4,342,0,342,0,0
208,235,323,9,0,0,0,0,13,1,1,0,0,0,0,2,13,3,4,6,611,0,611,0,0
209,218,108,1,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,3,338,0,338,0,0
210,661,34,1,0,0,1,0,10,0,0,0,0,0,0,0,1,2,2,7,719,0,719,0,0
211,663,39,0,1,0,0,0,18,0,0,0,0,0,0,1,1,4,1,13,741,0,741,0,0
212,401,52,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,5,476,0,476,0,0
213,245,286,22,0,1,1,1,2,1,1,1,3,4,0,2,9,5,3,2,586,0,586,0,0
214,207,207,18,0,0,0,0,5,1,0,0,2,2,3,5,12,1,0,1,465,0,465,0,0
215,185,219,9,0,1,0,1,4,2,1,1,2,3,2,8,13,2,3,5,460,0,460,0,0
216,286,198,18,0,0,2,0,2,1,2,1,1,2,0,3,10,2,1,2,530,0,530,0,0
217,245,132,7,1,3,1,0,0,1,3,2,4,6,1,1,21,4,4,2,439,0,439,0,0
218,193,270,15,2,0,0,0,8,2,0,0,3,3,3,5,9,5,10,4,530,0,530,0,0
219,125,202,2,5,0,0,0,7,1,0,1,1,2,1,3,3,3,4,5,363,0,363,0,0
220,104,334,1,0,0,0,0,5,0,0,0,0,0,1,0,3,1,0,3,453,0,453,0,0
221,288,192,6,0,0,0,0,6,2,1,3,3,6,1,6,32,8,4,8,564,0,564,0,0
222,353,233,3,1,0,1,0,8,3,0,0,0,0,1,1,11,4,1,6,626,0,626,0,0
223,496,196,4,0,1,1,0,7,13,4,1,1,2,0,4,17,7,5,7,764,0,764,0,0
224,527,182,0,0,2,0,2,18,3,1,0,2,2,1,0,3,4,0,9,755,0,755,0,0
225,143,71,1,1,1,0,0,2,0,0,0,0,0,0,0,3,1,0,0,223,0,223,0,0
226,227,365,22,0,0,3,0,11,0,1,1,0,0,0,1,3,2,0,4,640,0,640,0,0
227,258,385,45,4,0,0,1,13,0,0,0,1,1,1,0,5,2,3,13,732,0,732,0,0
228,533,139,15,2,2,0,1,13,5,0,0,0,0,0,0,3,2,1,9,725,0,725,0,0
229,472,217,6,0,0,0,0,29,0,1,0,0,0,0,0,1,2,0,17,745,0,745,0,0
230,268,497,15,1,2,0,1,23,1,0,1,0,1,1,4,10,3,8,4,840,0,840,0,0
231,633,28,0,0,0,0,0,18,0,1,0,0,0,0,0,1,5,0,10,696,0,696,0,0
232,551,34,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,11,620,0,620,0,0
233,592,100,2,1,3,1,0,20,0,1,1,1,0,0,1,5,2,0,10,740,0,740,0,0
234,277,29,0,0,0,0,0,8,0,0,0,0,0,0,0,2,1,0,6,323,0,323,0,0
