Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
28,0,387,7,0,0,0,2,0,0,0,0,0,0,1,1,5,1,2,0,406,0,2,408,0
29,2,399,8,2,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,417,0,5,422,0
30,1,357,204,0,0,0,11,0,0,0,0,0,0,1,0,1,0,1,1,577,0,7,584,0
31,3,290,155,2,0,0,16,1,0,0,0,0,0,0,0,2,2,1,1,473,0,6,479,0
32,4,341,209,5,0,1,8,0,0,0,1,0,1,1,1,3,1,1,3,580,0,6,586,0
33,1,96,574,4,0,1,7,0,1,1,0,2,0,1,0,2,0,3,2,695,0,7,702,0
34,0,184,36,0,0,0,3,0,0,1,0,2,0,0,1,0,0,1,0,228,0,1,229,0
35,1,240,172,0,0,0,11,0,0,0,0,0,0,0,0,1,1,0,0,426,0,6,432,0
36,1,235,201,0,1,0,7,0,0,0,1,0,0,0,2,0,1,1,1,451,0,7,458,0
,89,13362,6718,61,17,5,399,12,13,14,10,32,13,44,50,82,23,67,61,21072,0,276,21348,0
,89,13362,6718,61,17,5,399,12,13,14,10,32,13,44,50,82,23,67,61,21072,0,276,21348,0
37,2,296,114,0,1,0,10,0,1,1,1,3,2,0,0,0,0,3,2,436,0,0,436,0
38,3,248,249,1,0,0,5,1,0,0,1,3,0,2,0,4,0,1,0,518,0,3,521,0
39,2,667,87,1,0,0,17,1,0,1,0,1,1,0,0,1,0,2,0,781,0,20,801,0
40,0,556,131,0,0,2,15,0,0,0,1,0,0,1,0,2,0,2,0,710,0,14,724,0
41,1,678,131,1,0,1,15,0,1,0,0,0,0,0,2,4,1,1,3,839,0,10,849,0
42,1,561,68,1,1,0,9,0,4,1,0,0,0,0,1,1,0,4,0,652,0,15,667,0
43,2,690,43,2,0,0,15,0,0,1,1,1,0,0,1,1,2,0,0,759,0,16,775,0
44,2,433,71,0,0,0,8,0,1,0,1,1,0,1,0,0,0,0,0,518,0,21,539,0
45,0,371,26,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,0,407,0,4,411,0
46,2,366,24,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,398,0,5,403,0
47,1,435,29,0,0,0,9,0,3,0,1,0,0,0,2,0,3,0,1,484,0,6,490,0
48,1,423,13,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,444,0,5,449,0
,106,19086,7704,67,19,8,517,14,23,18,16,41,16,49,57,98,32,80,67,28018,0,395,28413,0
,106,19086,7704,67,19,8,517,14,23,18,16,41,16,49,57,98,32,80,67,28018,0,395,28413,0
49,5,586,64,4,1,0,2,1,0,0,3,1,2,3,1,0,0,2,1,676,0,5,681,0
50,4,437,276,1,0,1,10,1,2,0,0,2,1,5,4,10,1,10,6,771,0,13,784,0
51,1,346,64,1,0,0,7,0,0,0,0,2,1,1,0,0,0,2,1,426,0,5,431,0
52,3,529,52,0,0,2,15,0,1,0,0,0,0,0,1,4,1,0,0,608,0,11,619,0
53,2,304,90,0,1,1,8,0,1,0,0,0,1,1,2,3,0,3,3,420,0,7,427,0
54,1,450,35,1,0,0,8,0,0,0,0,0,0,1,1,3,0,0,0,500,0,5,505,0
55,0,595,108,1,0,0,9,1,1,0,0,2,0,0,0,1,1,1,2,722,0,5,727,0
56,4,393,189,2,0,0,9,0,0,0,0,1,0,0,3,1,1,0,0,603,0,2,605,0
57,3,421,105,3,0,0,10,0,1,1,1,0,1,2,0,2,1,2,0,553,0,7,560,0
58,6,455,174,3,0,2,8,0,1,1,1,0,1,1,3,3,2,0,1,662,0,10,672,0
59,8,338,278,3,0,0,8,1,1,0,0,1,1,1,0,1,0,3,4,648,0,6,654,0
60,4,503,150,3,0,0,4,2,0,0,0,0,0,2,0,2,1,1,2,674,0,6,680,0
,147,24443,9289,89,21,14,615,20,31,20,21,50,24,66,72,128,40,104,87,35281,0,477,35758,0
,147,24443,9289,89,21,14,615,20,31,20,21,50,24,66,72,128,40,104,87,35281,0,477,35758,0
61,13,364,282,3,2,1,12,1,3,2,1,1,0,1,3,2,0,1,1,693,0,10,703,0
62,2,424,110,0,0,0,4,1,0,1,0,1,1,0,0,0,0,1,0,545,0,9,554,0
63,20,433,246,4,1,3,18,0,0,2,2,4,2,5,5,6,0,0,1,752,0,13,765,0
64,6,329,196,5,0,0,16,0,0,0,3,0,1,4,5,8,2,1,1,577,0,2,579,0
65,1,211,287,4,1,0,6,0,1,1,1,0,2,6,3,5,1,1,2,533,0,4,537,0
66,9,417,278,4,1,1,8,1,1,2,1,2,1,4,3,3,1,4,5,746,0,8,754,0
67,5,433,260,1,5,1,16,2,2,1,3,2,1,3,5,3,2,3,3,751,0,8,759,0
68,3,598,154,4,0,1,19,2,1,2,1,0,1,1,3,2,2,7,3,804,0,11,815,0
69,10,311,446,8,2,0,6,2,3,2,3,6,5,11,9,18,10,2,4,858,0,4,862,0
70,4,318,265,2,0,1,7,1,1,1,0,2,1,2,1,9,2,3,8,628,0,13,641,0
71,12,349,249,2,0,0,15,0,2,1,0,1,0,1,1,0,1,1,0,635,0,4,639,0
72,4,504,142,1,1,0,20,0,0,0,0,0,0,1,3,1,0,0,0,677,0,6,683,0
,236,29134,12204,127,34,22,762,30,45,35,36,69,39,105,113,185,61,128,115,43480,0,569,44049,0
,236,29134,12204,127,34,22,762,30,45,35,36,69,39,105,113,185,61,128,115,43480,0,569,44049,0
73,1,478,82,1,0,1,8,0,0,0,0,1,0,0,0,0,1,4,2,579,0,5,584,0
74,5,279,240,3,1,1,4,0,1,0,1,2,2,0,4,5,2,6,1,557,0,1,558,0
75,6,819,121,1,0,0,5,1,3,0,1,0,0,0,1,5,0,3,1,967,0,31,998,0
76,3,298,443,2,0,0,5,1,3,1,0,1,1,1,5,2,1,3,1,771,0,7,778,0
77,11,385,455,4,3,0,5,0,4,0,0,3,0,4,3,3,4,3,4,891,0,6,897,0
78,2,462,36,0,0,0,8,0,0,0,0,0,0,1,0,3,0,2,0,514,0,7,521,0
79,2,427,40,1,0,0,17,1,0,1,0,1,0,1,0,1,2,1,0,495,0,7,502,0
80,2,697,118,0,0,0,16,1,2,0,0,1,1,0,3,0,0,0,3,844,0,21,865,0
81,1,94,353,2,0,0,5,0,1,0,0,1,0,0,0,3,0,1,1,462,0,1,463,0
82,3,112,426,3,1,0,8,0,0,0,1,0,0,2,0,1,0,0,5,562,0,0,562,0
83,3,253,307,3,0,0,19,0,1,2,0,4,0,0,0,1,0,1,1,595,0,13,608,0
84,2,428,54,0,0,0,17,0,0,0,0,1,0,0,0,1,0,0,0,503,0,8,511,0
,277,33866,14879,147,39,24,879,34,60,39,39,84,43,114,129,210,71,152,134,51220,0,676,51896,0
,277,33866,14879,147,39,24,879,34,60,39,39,84,43,114,129,210,71,152,134,51220,0,676,51896,0
85,3,424,59,1,2,0,13,0,0,1,0,0,0,0,1,0,0,1,1,506,0,3,509,0
86,1,705,70,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,2,797,0,24,821,0
87,6,278,472,2,1,0,15,2,0,0,1,2,1,1,0,2,3,3,2,791,0,1,792,0
88,4,475,160,0,1,0,17,0,0,1,0,0,1,1,1,1,0,1,0,663,0,9,672,0
89,4,694,36,1,1,2,4,0,0,1,1,0,0,0,0,3,2,3,0,752,0,9,761,0
90,2,328,122,2,0,0,17,0,0,0,0,0,0,0,1,0,1,18,8,499,0,10,509,0
91,3,338,78,0,1,0,11,0,0,0,1,1,0,0,2,3,1,3,4,446,0,11,457,0
92,3,528,70,1,0,0,6,0,0,0,0,3,0,0,5,2,2,6,0,626,0,11,637,0
93,1,351,70,1,0,0,9,0,0,0,0,1,0,0,0,1,0,1,0,435,0,8,443,0
94,1,650,93,2,0,0,34,0,0,0,0,0,0,0,4,1,0,0,1,786,0,14,800,0
95,1,672,82,2,2,0,24,0,2,0,0,0,0,0,1,2,2,1,0,791,0,27,818,0
96,3,497,48,3,0,0,9,0,0,0,0,0,4,0,1,3,1,0,2,571,0,4,575,0
,309,39806,16239,163,47,26,1055,36,62,42,42,91,49,116,145,228,84,189,154,58883,0,807,59690,0
,309,39806,16239,163,47,26,1055,36,62,42,42,91,49,116,145,228,84,189,154,58883,0,807,59690,0
97,1,437,27,2,0,0,7,0,0,0,1,0,0,1,1,3,0,0,0,480,0,6,486,0
98,4,561,170,1,0,0,18,2,3,0,0,1,0,1,3,0,0,0,0,764,0,13,777,0
99,11,291,399,1,1,0,8,2,0,0,0,0,1,4,4,3,4,7,7,743,0,5,748,0
100,13,257,402,5,0,0,8,2,1,0,4,2,3,9,14,13,4,5,10,752,0,7,759,0
101,1,441,114,0,0,0,22,3,1,1,0,6,0,0,0,1,1,0,0,591,0,15,606,0
102,6,200,387,0,1,0,5,0,1,1,1,0,0,0,3,0,2,2,1,610,0,5,615,0
103,7,539,308,3,1,1,12,1,0,1,0,5,0,4,11,14,3,3,0,913,0,13,926,0
104,6,326,397,6,1,1,7,2,1,1,1,3,2,9,5,5,0,4,0,777,0,2,779,0
105,7,375,444,3,3,1,5,1,2,1,0,1,2,5,2,8,8,26,19,913,0,10,923,0
106,5,416,262,4,0,0,5,0,0,2,0,2,1,8,13,10,3,4,4,739,0,5,744,0
107,10,452,240,2,0,1,4,0,0,2,0,2,2,3,12,7,4,8,6,755,0,6,761,0
108,2,388,126,1,0,0,9,0,2,0,0,0,0,4,2,4,0,1,0,539,0,15,554,0
,382,44489,19515,191,54,30,1165,49,73,51,49,113,60,164,215,296,113,249,201,67459,0,909,68368,0
,382,44489,19515,191,54,30,1165,49,73,51,49,113,60,164,215,296,113,249,201,67459,0,909,68368,0
109,2,584,63,0,0,0,11,1,1,0,0,0,0,0,0,0,0,1,0,663,0,8,671,0
110,5,437,186,5,1,1,10,1,3,1,2,3,3,11,11,19,5,7,2,713,0,14,727,0
111,2,125,56,0,1,0,8,0,0,0,1,0,0,0,1,0,0,0,0,194,0,2,196,0
