polling station,No. of Valid Votes cast in favor of,,,,,,,,,,,,,,,Total of valied votes  tendered,No. of rejected votes (Test  votes),Votes for NOTA option,Total votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkhan Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbhai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbhai,Malek Yakubmiya Nabhimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavadan  Shah,,,,
192,217,221,3,0,2,0,4,1,1,0,0,1,0,4,4,458,0,5,463
193,222,199,4,0,0,0,1,2,0,0,1,0,1,3,7,440,0,10,450
194,356,91,3,0,1,1,1,0,1,0,0,1,1,1,7,464,0,8,472
195,381,71,6,2,0,2,0,1,0,0,1,1,0,2,5,472,0,33,505
196,151,201,5,1,1,0,1,3,0,0,1,1,4,3,6,378,0,14,392
197,433,145,3,0,0,0,0,3,0,0,3,2,1,2,2,594,0,4,598
198,156,125,2,0,0,2,0,0,1,2,1,1,2,2,2,296,0,12,308
199,117,101,2,0,0,0,0,0,0,0,2,0,1,3,0,226,0,5,231
200,438,161,3,2,1,0,0,0,1,0,0,0,1,2,3,612,0,19,631
201,180,223,2,0,1,1,1,1,0,0,0,0,1,0,4,414,0,7,421
202,96,48,0,0,0,0,0,0,0,0,0,0,0,0,4,148,0,2,150
203,566,296,3,0,9,0,1,2,0,0,0,0,1,0,8,886,0,12,898
204,206,583,2,1,5,1,0,0,1,1,0,0,2,3,5,810,0,16,826
205,324,261,3,0,5,1,0,0,0,0,0,3,0,1,4,602,0,18,620
206,573,99,1,0,5,0,1,0,1,0,0,0,0,0,1,681,0,0,681
207,252,123,2,0,0,0,0,3,0,0,1,0,1,1,3,386,0,5,391
208,421,109,0,0,1,0,0,2,0,0,0,1,0,1,0,535,0,7,542
209,465,188,2,0,5,0,0,1,0,1,0,1,3,1,11,678,0,11,689
210,328,241,0,0,0,0,0,2,1,0,0,0,1,3,2,578,0,8,586
211,220,221,4,1,1,0,1,1,0,0,1,1,0,2,2,455,0,16,471
212,107,796,17,2,3,0,1,0,1,0,2,2,4,8,21,964,0,12,976
213,113,264,4,1,0,1,0,0,0,1,1,0,0,3,10,398,0,6,404
214,327,164,1,0,2,0,1,1,0,2,2,1,5,1,5,512,0,12,524
215,420,79,1,0,0,0,1,0,0,0,0,0,2,0,1,504,0,2,506
216,255,84,0,1,0,0,0,0,0,0,0,1,1,0,5,347,0,7,354
217,198,127,0,0,0,0,1,1,0,0,0,0,0,0,1,328,0,3,331
218,670,32,0,0,1,0,0,0,0,0,1,0,0,0,0,704,0,1,705
219,431,136,3,0,1,1,0,1,0,0,3,1,2,1,0,580,0,11,591
220,381,312,6,2,1,0,0,3,0,0,1,1,2,2,3,714,0,8,722
221,336,197,1,0,0,0,1,2,0,0,1,1,2,1,2,544,0,12,556
222,124,325,8,1,0,0,1,2,0,0,0,0,0,2,2,465,0,10,475
223,505,242,2,0,2,0,1,0,0,0,1,0,4,4,3,764,0,21,785
224,192,398,5,0,3,1,0,3,1,0,1,2,4,5,9,624,0,3,627
225,356,335,3,1,1,0,2,4,1,0,0,3,1,3,8,718,0,11,729
226,470,180,2,0,1,0,0,4,0,0,0,2,2,3,2,666,0,12,678
227,315,367,2,0,2,0,0,3,1,1,0,1,0,1,2,695,0,8,703
