Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes,of 11
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,,
181,193,54,1,1,0,1,0,1,0,0,1,0,1,0,0,5,9,1,1,268,0,268,0,0,
182,266,130,1,1,0,1,2,0,0,1,0,0,0,2,2,11,2,3,1,423,0,423,0,0,
183,320,205,7,3,1,0,1,2,0,0,1,2,3,2,2,6,7,1,5,565,0,565,0,0,
184,268,176,6,1,1,2,2,4,1,2,0,3,3,3,9,22,12,9,3,528,0,528,0,0,
185,197,135,1,0,0,2,2,1,0,0,1,0,1,1,2,11,6,0,1,361,0,361,0,0,
186,346,60,2,0,0,0,0,5,0,0,0,2,2,0,4,9,9,4,4,446,0,446,0,0,
187,498,33,3,1,0,0,1,0,0,3,1,1,2,1,2,6,1,1,2,556,0,556,0,0,
188,503,73,3,0,0,0,0,0,0,0,0,0,0,0,0,5,11,2,1,598,0,598,0,0,
189,328,165,3,2,0,0,0,2,1,1,1,2,3,4,3,9,10,5,3,541,0,541,0,0,
190,515,127,4,1,0,0,3,2,1,0,0,3,3,7,7,40,38,17,5,770,0,770,0,0,
191,169,171,6,0,1,0,0,1,0,0,0,0,0,3,2,2,1,0,1,359,0,359,0,0,
192,383,117,1,0,0,0,1,3,2,0,0,1,1,1,1,9,9,1,0,529,0,529,0,0,
193,259,68,1,1,1,0,0,1,0,0,1,1,2,2,1,10,4,4,3,357,0,357,0,0,
194,184,331,20,2,1,1,0,1,1,0,1,0,1,1,1,11,1,4,0,561,0,561,0,0,
195,404,93,1,0,0,0,0,3,1,0,0,0,0,0,1,5,7,4,1,520,0,520,0,0,
196,350,40,0,0,0,2,1,0,1,0,1,0,1,1,0,5,12,5,3,421,0,421,0,0,
197,672,100,0,4,0,0,0,6,0,0,0,4,4,0,0,1,3,1,1,792,0,792,0,0,
198,301,69,3,0,0,0,0,0,0,1,23,0,23,1,4,5,1,3,0,411,0,411,0,0,
199,501,141,1,0,0,0,0,5,0,2,1,11,12,1,4,16,1,1,4,690,0,690,0,0,
200,372,237,3,1,0,0,0,1,0,1,0,1,1,1,3,9,14,10,2,656,0,656,0,0,
201,194,210,3,0,1,0,0,0,0,0,0,3,3,0,4,6,7,1,1,430,0,430,0,0,
202,328,223,5,0,1,0,0,3,0,1,1,0,1,0,1,0,12,2,6,583,0,583,0,0,
203,59,532,35,15,1,0,0,5,0,0,0,0,0,0,2,1,0,0,3,656,0,656,0,0,
204,37,338,17,31,0,0,0,2,0,0,0,0,0,0,2,1,1,5,2,436,0,436,0,0,
205,193,215,5,6,0,0,0,2,1,0,0,0,0,0,1,7,2,5,1,438,0,438,0,0,
206,585,38,2,0,0,1,1,15,0,0,1,0,1,0,0,4,1,0,3,651,0,651,0,0,
207,422,147,5,0,1,0,2,3,0,0,1,3,4,2,1,6,13,3,1,611,0,611,0,0,
208,655,61,0,1,0,0,0,3,1,0,0,8,8,0,0,1,2,0,2,735,0,735,0,0,
209,570,94,2,0,0,0,0,5,0,0,1,1,2,1,0,4,1,0,3,682,0,682,0,0,
210,553,63,0,0,0,0,1,2,0,0,0,5,5,0,0,0,1,2,7,634,0,634,0,0,
211,537,56,2,0,0,0,0,10,2,0,0,1,0,1,0,3,4,1,4,621,0,621,0,0,
212,568,85,2,0,0,1,0,4,0,0,0,3,1,1,4,3,0,0,6,678,0,678,0,0,
213,648,131,2,2,0,0,0,7,0,0,0,3,0,0,0,5,11,4,7,820,0,820,0,0,
214,444,210,8,4,0,0,0,4,0,0,2,1,0,3,6,10,8,5,7,712,0,712,0,0,
215,364,22,0,0,0,0,0,1,0,0,0,1,0,0,1,3,3,0,0,395,0,395,0,0,
216,310,67,0,1,1,0,0,1,0,0,0,4,1,0,1,3,2,2,1,394,0,394,0,0,
217,239,117,1,1,0,1,0,1,0,2,1,1,0,0,1,8,9,5,2,389,0,389,0,0,
218,309,149,3,0,1,1,1,1,0,1,0,10,2,4,2,4,4,1,4,497,0,497,0,0,
219,316,166,4,1,0,0,0,1,0,0,0,2,1,1,2,9,4,2,2,511,0,511,0,0,
220,554,12,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,2,577,0,577,0,0,
221,227,203,5,10,1,0,0,1,2,0,0,3,1,2,4,13,11,9,2,494,0,494,0,0,
222,265,54,4,1,1,0,0,1,1,0,0,1,1,1,5,7,7,3,1,353,0,353,0,0,
223,381,148,6,55,2,0,0,1,1,1,2,6,1,2,5,13,26,10,9,669,0,669,0,0,
224,237,268,8,28,3,2,1,2,0,3,2,4,1,1,6,15,3,1,4,589,0,589,0,0,
225,383,192,4,3,2,1,2,0,1,1,0,2,0,1,3,11,4,3,2,615,0,615,0,0,
226,106,178,2,1,2,0,1,1,0,1,0,0,0,0,0,2,2,6,1,303,0,303,0,0,
227,315,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,407,0,0,
228,279,176,6,3,0,1,1,4,0,1,3,0,0,2,7,13,3,2,1,502,0,502,0,0,
229,94,174,5,0,1,0,0,4,0,0,4,0,2,1,5,4,4,1,1,300,0,300,0,0,
230,108,35,2,2,0,1,1,0,1,0,1,3,0,1,4,3,3,1,0,166,0,166,0,0,
