polling station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
130,150,410,5,2,3,0,1,2,1,0,0,1,1,1,3,7,6,12,1,1,2,1,3,1,1,615,0,4,619,0
131,125,371,14,0,2,1,2,0,1,1,0,1,0,2,3,2,5,3,2,2,1,0,0,0,0,538,0,4,542,0
132,111,179,62,1,1,1,2,1,0,2,0,1,1,6,6,7,12,8,3,0,1,2,2,6,1,416,0,9,425,0
133,17,252,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,3,1,1,0,1,0,1,0,282,0,1,283,0
134,98,314,19,0,1,0,1,1,1,2,1,4,0,1,2,3,1,4,2,0,0,2,0,0,1,458,0,4,462,0
135,232,262,4,1,2,0,2,0,3,0,1,4,0,1,7,18,5,4,0,0,0,0,0,0,0,546,0,9,555,0
136,124,60,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,190,0,2,192,0
137,190,244,4,0,1,2,0,0,0,0,1,1,0,0,8,4,9,9,1,0,0,0,0,1,1,476,0,0,476,0
138,51,221,1,0,1,1,0,0,0,0,1,0,2,0,1,3,0,0,0,1,0,0,0,0,0,283,0,0,283,0
139,106,281,5,0,28,0,1,1,2,1,1,6,1,4,4,10,2,5,1,1,1,3,3,2,2,471,0,3,474,0
140,110,168,2,0,1,1,0,0,0,0,0,1,1,0,0,3,1,2,1,0,1,0,0,1,0,293,0,1,294,0
141,108,203,7,2,3,1,4,1,2,1,3,2,3,2,6,9,8,2,0,0,0,2,2,1,2,374,0,6,380,0
142,220,222,5,2,0,0,0,0,1,0,0,3,0,0,2,4,4,4,0,1,0,1,1,2,0,472,0,2,474,0
143,72,189,4,0,1,0,0,0,0,0,0,0,0,3,1,5,2,5,2,1,2,2,1,0,0,290,0,2,292,0
144,184,178,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,373,0,2,375,0
145,100,293,4,5,33,2,1,2,0,0,0,13,0,1,4,6,3,2,7,2,1,0,1,2,3,485,0,3,488,0
146,211,361,10,4,6,5,1,1,1,2,2,7,2,1,4,16,7,4,2,3,0,2,0,1,2,655,0,9,664,0
147,118,406,2,1,6,1,1,1,1,1,1,5,2,0,2,5,4,9,1,1,3,1,0,0,6,578,0,9,587,0
148,114,178,3,0,1,1,0,0,0,1,1,4,0,2,2,7,1,3,1,1,0,0,0,1,0,321,0,0,321,0
