polling station,,,,,,,,,,,,,,,,,,,,,,,,
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPA,No. Tendered Votes
159,517,151,3,0,1,0,0,31,1,0,0,0,0,1,0,3,2,0,15,725,0,725,0,0
160,464,73,0,0,0,0,0,34,0,0,0,1,1,0,0,1,1,0,15,589,0,589,0,0
161,220,219,4,0,0,0,0,18,0,1,0,0,0,0,3,1,2,1,6,475,0,475,0,0
162,366,284,0,1,0,0,1,25,0,0,0,0,0,0,0,0,0,1,20,698,0,698,0,0
163,556,116,6,0,0,0,0,13,0,0,0,0,0,0,1,5,1,0,12,710,0,710,0,0
164,729,162,1,0,1,0,0,27,1,0,1,1,2,0,1,1,1,1,25,953,0,953,0,0
165,685,107,0,0,0,0,0,28,0,0,2,0,2,0,0,2,2,0,26,852,0,852,0,0
166,296,247,1,0,0,1,0,20,0,1,1,0,1,0,0,2,3,4,9,585,0,585,0,0
167,399,184,1,1,0,0,0,21,0,0,1,0,1,0,0,7,5,3,13,635,0,635,0,0
168,379,146,1,0,0,0,2,28,0,0,0,0,0,0,0,2,1,3,20,582,0,582,0,0
169,621,80,1,0,0,0,0,21,0,0,0,1,1,1,1,1,3,0,19,749,0,749,0,0
170,373,492,9,0,0,0,2,15,0,1,2,3,5,0,8,15,6,6,3,937,0,937,0,0
171,253,218,3,0,1,1,4,12,0,1,2,0,2,0,2,9,0,0,2,509,0,509,0,0
172,258,240,6,3,0,2,5,7,0,1,1,2,3,2,4,13,4,4,8,561,0,561,0,0
173,387,140,1,0,2,1,1,12,0,0,1,0,1,1,2,5,0,0,6,560,0,560,0,0
174,278,122,2,0,0,0,1,12,0,0,0,1,1,1,0,3,1,0,2,423,0,423,0,0
175,470,114,5,0,0,0,0,12,0,2,0,0,0,0,1,4,1,0,7,616,0,616,0,0
176,441,162,0,1,0,2,0,16,0,3,0,1,1,1,3,2,1,0,5,638,0,638,0,0
177,401,247,7,1,0,2,1,20,0,3,1,0,1,1,2,2,0,0,10,698,0,698,0,0
178,284,263,12,4,0,0,2,17,0,1,0,0,0,0,1,0,1,1,12,598,0,598,0,0
179,435,183,1,1,0,0,0,16,0,0,0,0,0,0,0,1,2,0,13,653,0,653,0,0
180,260,78,0,1,0,0,0,7,0,0,0,0,0,1,0,0,1,0,3,351,0,351,0,0
181,396,211,15,0,0,0,0,24,0,0,0,1,1,0,0,2,3,0,10,662,0,662,0,0
182,543,154,6,0,0,0,1,11,0,1,0,0,0,0,0,1,2,0,9,729,0,729,0,0
183,441,79,0,0,0,1,0,13,0,0,3,0,3,0,0,4,0,0,15,556,0,556,0,0
184,527,121,1,0,1,0,0,16,0,1,0,0,0,0,0,2,0,0,3,672,0,672,0,0
185,544,129,0,0,0,1,2,17,1,0,0,0,0,0,0,1,1,1,9,706,0,706,0,0
186,506,128,2,0,0,0,0,10,2,0,0,0,0,0,0,0,2,1,6,657,0,657,0,0
187,309,81,0,0,1,0,0,5,0,0,0,0,0,0,3,2,1,1,3,406,0,406,0,0
188,518,88,1,0,0,0,0,13,0,0,1,0,1,0,1,0,2,1,9,635,0,635,0,0
189,664,175,2,0,0,0,2,26,0,0,0,0,0,0,0,2,2,0,13,887,0,887,0,0
190,488,137,3,1,0,1,0,37,0,1,0,0,0,0,0,2,1,0,17,688,0,688,0,0
191,421,219,2,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,12,691,0,691,0,0
192,267,146,1,1,0,0,0,14,0,0,0,0,0,0,1,2,1,1,11,445,0,445,0,0
193,542,222,6,2,0,1,0,30,1,0,0,0,0,0,0,2,6,2,20,834,0,834,0,0
194,410,97,2,0,0,0,0,16,0,0,0,0,0,1,0,3,0,0,4,533,0,533,0,0
195,116,114,0,0,0,0,0,8,0,0,0,0,0,1,0,2,2,2,6,251,0,251,0,0
196,400,118,1,0,0,1,0,26,0,1,0,1,1,0,2,2,1,0,7,560,0,560,0,0
197,223,210,3,1,1,0,0,23,0,0,0,1,1,0,1,5,2,1,9,481,0,481,0,0
198,703,122,0,0,0,0,0,29,1,0,0,0,0,1,1,2,3,1,11,875,0,875,0,0
199,555,250,2,3,1,1,1,6,0,1,1,1,2,1,7,20,5,4,8,870,0,870,0,0
200,208,133,0,0,0,0,1,9,0,0,0,0,0,0,0,3,1,1,5,361,0,361,0,0
201,307,54,1,0,0,0,2,15,0,0,0,0,0,0,0,4,2,1,5,391,0,391,0,0
202,529,164,5,0,0,0,0,29,0,0,0,1,1,0,0,1,2,1,23,755,0,755,0,0
203,118,461,1,0,1,0,12,1,0,0,0,0,0,0,0,3,1,2,8,608,0,608,0,0
204,132,242,1,0,0,0,0,6,0,0,0,0,0,0,0,1,3,4,8,397,0,397,0,0
205,98,358,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,4,487,0,487,0,0
206,308,135,2,0,0,0,0,21,1,3,1,0,1,0,0,1,1,0,9,482,0,482,0,0
207,174,137,1,0,0,0,0,10,0,0,1,0,1,0,0,0,2,1,2,328,0,328,0,0
208,507,195,8,0,0,0,0,26,0,0,0,3,3,1,2,7,4,2,11,766,0,766,0,0
209,246,61,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,8,327,0,327,0,0
210,410,123,3,1,0,0,0,25,0,1,0,0,0,1,0,1,0,1,10,576,0,576,0,0
211,395,161,0,0,0,1,0,29,0,0,4,1,5,1,5,16,2,2,18,636,0,636,0,0
212,376,196,1,0,0,1,0,19,0,0,0,0,0,1,0,3,1,2,4,604,0,604,0,0
213,377,360,6,1,0,0,0,15,0,0,0,1,1,4,1,16,5,2,6,796,0,796,0,0
214,264,196,2,0,0,1,0,9,1,0,0,1,1,0,1,1,3,2,7,488,0,488,0,0
215,322,190,6,0,0,1,1,1,1,1,2,0,2,5,7,8,2,1,5,553,0,553,0,0
216,339,149,4,0,0,0,0,5,1,0,0,0,0,0,3,7,6,3,1,518,0,518,0,0
217,336,155,6,1,2,2,0,8,0,3,1,2,3,4,3,34,8,3,5,575,0,575,0,0
218,310,371,11,2,2,1,2,10,3,2,2,2,4,0,4,7,5,5,2,743,0,743,0,0
219,257,361,4,1,0,0,0,12,1,0,0,1,1,3,5,12,8,12,3,681,0,681,0,0
220,290,391,4,0,1,2,0,8,1,0,0,0,0,4,8,13,4,6,5,740,0,740,0,0
221,371,172,2,3,2,1,3,4,0,0,2,1,3,4,3,17,7,3,6,603,0,603,0,0
222,238,193,11,2,0,1,2,5,0,0,1,2,3,3,3,19,0,3,5,489,0,489,0,0
223,254,114,12,0,3,0,1,5,0,0,0,0,0,0,1,31,10,2,7,442,0,442,0,0
224,190,274,4,1,0,0,0,2,0,1,0,1,0,4,9,14,3,0,2,505,0,505,0,0
