Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid,No. Of rejecte d Votes,NOTA,Total,NO. OF Tender ed Votes
,AHIR VIKR AMB HAI,POO NAM BEN HEM,SAM A YUS UF,KAS AMB HAI,JHAL A RAJE NDR,SAIY AD ABU BAK,CHA NDR AVIJ AYSI,DALI T ASH OK,DALI T JITE SH,DHA NJIB HAI LALJ,DHA RAVI YA VAL,NARI YA PRA VINB,PAD HIY AR LALJ,PAN DYA CHIR AGB,BAT HWA R NAN,MA MAD HAJI BOLI,MEM AN RAFI K,VAG HER ALI ISHA,VAG HER JAVI DBH,VAN IYA GAN GAJI,SAC HAD A HABI,SUT HAR HAN SAB,SUM ARA AMA NDB,SOD HA SALI MBH,SAN DHI MA MAD,,,,,,
157,315,300,6,0,1,2,1,2,2,0,0,1,2,4,3,11,7,3,0,1,0,0,0,0,0,2,661,0,2,663,0
158,334,227,2,0,1,0,0,0,0,0,1,4,1,1,2,8,4,2,0,1,0,1,0,0,0,4,589,0,4,593,0
159,106,182,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,2,0,0,1,2,1,300,0,1,301,0
160,137,62,3,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,207,0,0,207,0
161,82,109,1,0,8,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,205,0,0,205,0
162,252,434,5,0,1,2,0,0,0,5,0,4,1,2,5,10,2,4,1,1,2,1,0,0,2,3,734,0,3,737,0
163,159,380,6,2,0,0,1,1,1,0,0,4,0,0,1,2,2,1,1,0,1,1,1,0,4,2,568,0,2,570,0
164,379,93,4,1,0,0,3,0,0,3,1,1,0,2,2,2,0,0,0,0,0,0,1,1,0,0,493,0,0,493,0
165,220,258,6,1,2,0,0,1,2,0,0,1,1,1,6,7,3,2,0,0,2,0,0,0,0,6,513,0,6,519,0
166,321,311,4,1,0,0,1,1,1,1,0,1,0,2,2,6,6,3,1,2,1,0,0,1,0,1,666,0,1,667,0
167,247,216,0,1,0,0,0,1,0,0,0,2,0,0,1,3,1,0,1,1,0,0,0,0,1,0,475,0,0,475,0
168,296,174,0,2,1,1,0,0,0,0,0,0,0,1,2,5,0,3,0,0,3,0,0,0,0,2,488,0,2,490,0
169,279,193,4,2,0,0,1,0,0,2,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,3,487,0,3,490,0
170,123,105,2,2,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,1,1,0,0,0,0,1,240,0,1,241,0
171,67,45,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,120,0,0,120,0
172,105,203,2,1,1,1,0,0,0,0,0,0,0,2,0,1,1,4,0,0,0,0,0,0,1,0,322,0,0,322,0
173,212,220,4,0,0,0,0,1,0,1,0,1,0,2,2,2,8,1,1,0,1,0,0,0,1,2,457,0,2,459,0
174,90,202,6,1,1,1,0,0,0,0,0,0,0,0,8,1,1,0,1,0,0,1,0,0,0,0,313,0,0,313,0
175,194,233,0,0,3,0,0,0,0,3,0,0,0,1,2,6,3,5,1,1,0,1,0,1,1,1,455,0,1,456,0
176,156,104,0,0,0,0,1,0,0,0,0,1,0,0,1,4,2,0,0,0,2,0,0,0,0,0,271,0,0,271,0
177,264,156,29,1,3,0,0,0,0,0,0,0,0,1,0,3,6,2,0,0,1,1,0,0,1,0,468,0,0,468,0
